Name,Age,BloodGroup,loc_ngo,loc_hosp,phnum,ID
Deshawn Wu,82,AB-,ngo0096,,(307)905-1624,rc0820
Gregoria Ligon,72,O+,,hosp0109,(307)422-8003,rc0821
Joel Delatorre,31,O+,ngo0009,,(208)386-7698,rc0822
Young Lennon,31,O-,,hosp0186,(215)803-6299,rc0823
Jerold Getz,12,B+,ngo0043,,(630)577-8486,rc0824
Cindy Mangum,94,O+,,hosp0050,(424)178-4889,rc0825
Genaro Ohara,93,O-,ngo0096,,(321)717-2509,rc0826
Kasey Craddock,78,A-,ngo0094,,(515)147-1947,rc0827
Bruce Rose,31,AB-,,hosp0110,(270)848-5802,rc0828
Joaquin Cleary,39,B+,ngo0124,,(603)867-4459,rc0829
Roland Sargent,18,A-,,hosp0094,(970)717-9017,rc0830
Wm Gann,73,A+,ngo0035,,(256)761-1726,rc0831
Nellie Zook,92,AB-,ngo0036,,(479)332-2893,rc0832
Kennith Stoker,1,O+,ngo0023,,(870)123-8887,rc0833
Abel Frost,36,A+,ngo0067,,(975)898-3668,rc0834
Brendon Bouchard,52,O+,,hosp0109,(601)921-3829,rc0835
Ronny Speed,48,O+,,hosp0011,(425)253-7051,rc0836
Jamison Ethridge,0,B-,,hosp0099,(423)619-9651,rc0837
Ethel Chadwick,25,A+,,hosp0161,(605)802-7341,rc0838
Stuart Leahy,27,A+,ngo0133,,(907)238-3812,rc0839
Margie Buxton,13,A+,,hosp0026,(312)365-9821,rc0840
Mike Blackman,4,B-,ngo0012,,(601)348-8317,rc0841
Magdalena Marrero,84,O-,,hosp0145,(810)465-6694,rc0842
Freddie Sturm,88,B+,,hosp0170,(734)619-3080,rc0843
Lyle Chun,65,B-,ngo0075,,(775)285-9506,rc0844
Rocco Hylton,63,O-,,hosp0112,(310)410-5625,rc0845
Van Clayton,66,AB-,,hosp0093,(717)693-7828,rc0846
Elsie Motley,98,A-,,hosp0022,(515)531-4430,rc0847
Aron Schultz,77,AB+,ngo0107,,(205)854-9402,rc0848
Antonia Payton,93,O+,ngo0056,,(435)266-2623,rc0849
Louis Huber,53,AB+,,hosp0182,(802)291-6339,rc0850
Idella Irvin,39,A+,,hosp0019,(208)410-6604,rc0851
Roland Swain,41,O-,ngo0017,,(557)512-3336,rc0852
Meghan Landrum,42,O+,ngo0098,,(413)951-7010,rc0853
Nathalie Landon,80,A+,ngo0101,,(785)300-1528,rc0854
Douglas Edgar,89,O-,,hosp0182,(603)227-8418,rc0855
Gregorio Joyner,67,AB-,,hosp0045,(309)791-3600,rc0856
Filiberto Mace,43,B+,ngo0070,,(808)687-6556,rc0857
Marcelle Dugger,86,AB-,,hosp0204,(605)975-8440,rc0858
Tami Lund,88,O-,,hosp0205,(602)935-8465,rc0859
Reed Pimentel,22,O+,ngo0027,,(254)323-1840,rc0860
Benedict Soliz,41,A+,,hosp0044,(234)443-1511,rc0861
Kendall Mueller,83,AB+,ngo0036,,(435)277-8647,rc0862
Gene Reese,32,B-,ngo0100,,(601)789-3997,rc0863
Tanya Tobias,51,A+,,hosp0022,(347)589-6543,rc0864
Camilla Meza,76,B+,ngo0121,,(712)851-8728,rc0865
Debi Dover,24,B+,,hosp0131,(414)379-8777,rc0866
Cordell Stegall,78,O-,,hosp0158,(283)491-2501,rc0867
Heath Haro,36,A-,,hosp0083,(814)432-9921,rc0868
Steve Cone,65,A+,ngo0051,,(508)219-3920,rc0869
Astrid Clements,14,AB+,ngo0065,,(571)591-4291,rc0870
Roderick Fleming,18,O+,ngo0017,,(423)860-7496,rc0871
Lilian Carrico,3,A-,,hosp0200,(757)788-7983,rc0872
Brenton Oates,1,A+,ngo0094,,(731)362-1144,rc0873
Donna Sena,86,A+,,hosp0162,(417)822-6777,rc0874
Gabriel Oldham,76,AB+,ngo0036,,(559)413-4183,rc0875
Rolland Woody,27,A-,,hosp0177,(615)813-4764,rc0876
Cortez Summerlin,72,B+,ngo0028,,(557)590-6322,rc0877
Mozelle Negrete,25,AB+,ngo0096,,(386)263-1478,rc0878
Joey Bedford,39,AB-,ngo0073,,(763)977-4662,rc0879
Raymon Avila,73,O-,ngo0005,,(423)720-2798,rc0880
Dennis Tenney,45,A+,,hosp0119,(508)467-6185,rc0881
Lesley Carl,4,A+,,hosp0145,(240)816-4351,rc0882
Janette Ames,85,B+,ngo0039,,(207)680-8685,rc0883
Nelda Maupin,80,O-,ngo0116,,(720)607-8522,rc0884
Faith Manuel,11,O+,ngo0047,,(434)120-5828,rc0885
Ashleigh Nabors,44,AB+,,hosp0064,(845)801-6616,rc0886
Yvette Weller,39,A-,,hosp0209,(870)949-7272,rc0887
Jamison Silvers,48,O-,ngo0117,,(786)721-3520,rc0888
Carey Sinclair,57,B+,,hosp0076,(714)140-2289,rc0889
Francisca Latham,7,B-,ngo0093,,(620)190-3521,rc0890
Enoch Mchugh,44,A-,,hosp0156,(706)912-3795,rc0891
Morgan Grenier,95,A+,ngo0076,,(714)342-9400,rc0892
Pamela Lord,22,A-,,hosp0200,(908)817-4100,rc0893
Cole Oneil,27,O+,,hosp0172,(760)791-2632,rc0894
Winford Pounds,74,A+,,hosp0072,(835)847-4200,rc0895
Kenny Wilkes,33,A-,,hosp0037,(479)442-7353,rc0896
Frankie Maynard,26,A+,,hosp0043,(949)927-8471,rc0897
Keneth Rock,36,A+,ngo0114,,(321)780-3496,rc0898
Emmitt Jasper,52,AB-,ngo0036,,(975)250-7885,rc0899
Arron Heaton,87,B-,ngo0006,,(614)224-9273,rc0900
Cedric Slone,21,B+,ngo0127,,(847)871-3136,rc0901
Domingo Chong,68,O-,ngo0095,,(978)710-9428,rc0902
Granville Chapa,7,A+,ngo0119,,(434)961-4714,rc0903
Lance Leavitt,6,B-,ngo0065,,(775)977-8691,rc0904
Candy Villagomez,80,O+,,hosp0078,(718)568-4470,rc0905
Maria Booth,36,B+,,hosp0029,(228)818-9233,rc0906
Craig Jordan,52,A-,ngo0112,,(870)883-3005,rc0907
Hector Tran,96,O-,,hosp0061,(339)180-5987,rc0908
Edison Gentry,80,O-,,hosp0133,(213)231-6809,rc0909
Sandy Withers,42,AB-,,hosp0182,(831)130-3590,rc0910
Whitney Ventura,63,AB-,,hosp0123,(612)720-8119,rc0911
Charleen Vandiver,21,AB-,ngo0134,,(913)770-3741,rc0912
Zane Goble,77,AB+,ngo0106,,(781)946-1236,rc0913
Raymond Heck,91,AB+,ngo0129,,(865)720-9750,rc0914
Sherrie Nagel,31,O+,,hosp0161,(228)593-2142,rc0915
Libby Hannon,30,O-,ngo0085,,(251)607-6017,rc0916
Tracy Stacy,19,A+,,hosp0062,(540)486-3390,rc0917
Kara Epps,98,A-,,hosp0169,(337)665-7686,rc0918
Tamika Blanco,58,A-,ngo0094,,(863)815-4878,rc0919
Gonzalo Stallings,48,B+,,hosp0076,(406)925-7413,rc0920
Jacklyn Donato,24,AB-,ngo0013,,(557)936-8858,rc0921
Vincent Jacks,98,B+,,hosp0195,(980)728-6354,rc0922
Julio Halverson,92,AB+,ngo0030,,(661)322-5063,rc0923
Kirk Swann,8,AB-,,hosp0163,(972)884-8415,rc0924
Kennith Leavitt,14,O+,,hosp0180,(260)135-2892,rc0925
Graham Bergman,36,B+,ngo0049,,(507)819-5954,rc0926
Virgilio Hite,92,AB-,ngo0074,,(310)383-8607,rc0927
Oscar Andres,70,O+,,hosp0074,(464)339-3425,rc0928
James Kohler,54,B+,ngo0119,,(347)133-2997,rc0929
Booker Cavanaugh,12,O-,,hosp0105,(870)731-6697,rc0930
Gavin Wren,76,AB-,ngo0057,,(864)978-5572,rc0931
Demarcus Moore,20,AB-,ngo0070,,(407)457-3123,rc0932
Jarod Zapata,18,A+,ngo0056,,(737)160-3250,rc0933
Nathan Salmon,49,AB-,,hosp0148,(320)265-8687,rc0934
Cortney Gentry,29,A+,,hosp0137,(205)451-9293,rc0935
Jacquelin Chandler,21,A-,ngo0087,,(760)850-1515,rc0936
Bobby Buffington,25,AB+,,hosp0193,(813)872-4787,rc0937
Morgan Moe,86,AB+,ngo0050,,(571)762-2279,rc0938
Cole Fair,4,AB-,ngo0055,,(979)677-4024,rc0939
Humberto Storey,27,A+,ngo0090,,(970)423-8120,rc0940
William Nieves,51,O+,ngo0123,,(803)200-5507,rc0941
Abe Barone,41,B-,ngo0008,,(835)189-3117,rc0942
Alfred Granados,38,A+,,hosp0150,(205)462-3215,rc0943
Wilbur Newsome,41,B+,ngo0080,,(231)192-3499,rc0944
Rosario Meeks,32,AB+,ngo0038,,(334)478-7081,rc0945
Robin Harness,38,A-,ngo0018,,(940)459-7161,rc0946
Hanna Brantley,58,B+,,hosp0155,(914)669-6884,rc0947
Jarod Boren,81,O-,ngo0041,,(724)566-2136,rc0948
Freda West,84,O+,ngo0056,,(409)312-8168,rc0949
Allen Solomon,45,A+,,hosp0153,(952)630-8647,rc0950
Marcellus Doran,26,AB+,,hosp0073,(970)657-4870,rc0951
Celeste Pfeiffer,83,AB+,,hosp0140,(443)693-6688,rc0952
Cecile Rendon,98,AB-,ngo0064,,(860)930-3123,rc0953
Floyd Melton,62,AB+,ngo0035,,(419)691-6689,rc0954
Myrna Jackman,92,AB+,ngo0104,,(941)472-4082,rc0955
Faustino Hume,25,A-,,hosp0045,(908)433-3827,rc0956
Jeremy Fife,48,B-,ngo0122,,(816)245-1468,rc0957
Destiny Seaman,27,AB+,,hosp0130,(978)263-2398,rc0958
Meghan John,9,O-,ngo0070,,(940)928-8963,rc0959
Florentino Hollenbeck,67,B+,ngo0048,,(815)187-3144,rc0960
Jesse Ruby,40,A+,,hosp0151,(314)751-5352,rc0961
Marisol Sherwood,61,O+,ngo0094,,(959)739-2875,rc0962
Alvin Rudolph,56,AB+,ngo0117,,(903)787-2025,rc0963
Hank Crider,35,AB+,ngo0017,,(973)949-1679,rc0964
Sherman Yost,49,B-,,hosp0049,(307)504-7186,rc0965
Hilary Yang,77,AB-,,hosp0179,(980)752-5744,rc0966
Virginia Burkhart,59,B-,ngo0074,,(817)120-7697,rc0967
Cornell Wicker,91,O-,,hosp0089,(812)286-6568,rc0968
Leland Guerrero,83,B+,ngo0023,,(307)324-4094,rc0969
Marlene Boyer,20,A+,ngo0004,,(817)400-4406,rc0970
Mason Wheaton,83,B+,ngo0014,,(360)983-4814,rc0971
Jessica Butler,64,O+,ngo0058,,(717)617-4065,rc0972
Isaias Thacker,17,A+,ngo0069,,(636)702-7751,rc0973
Hiram Read,70,O-,,hosp0121,(812)580-5609,rc0974
Germaine Epps,1,AB-,,hosp0011,(803)922-8086,rc0975
Gaye Duckett,36,AB-,ngo0104,,(215)504-3038,rc0976
Chas Jones,62,B-,ngo0025,,(949)709-3097,rc0977
Dominic Lau,64,B-,,hosp0054,(603)549-4826,rc0978
Corey Irizarry,44,O+,ngo0028,,(912)475-3235,rc0979
Chantel Barlow,13,O-,,hosp0149,(270)473-5999,rc0980
Wilson Hill,23,O+,,hosp0122,(207)800-8840,rc0981
Cindi Mcclure,64,A+,,hosp0081,(218)687-9242,rc0982
Isabell Acker,41,AB-,ngo0079,,(906)899-7788,rc0983
Josue Dangelo,12,A-,ngo0007,,(774)183-6012,rc0984
Jamaal Worthington,80,AB+,,hosp0111,(682)554-4458,rc0985
Hester Lombardo,7,AB+,,hosp0014,(503)485-2211,rc0986
Arturo Newberry,74,AB+,ngo0062,,(859)927-9574,rc0987
Huey Beaty,33,AB+,,hosp0143,(586)328-3153,rc0988
Joel Bray,31,O-,,hosp0201,(816)954-5532,rc0989
Hildegard Tenney,55,O-,ngo0023,,(570)414-5836,rc0990
Kasey Fortney,34,B+,ngo0065,,(304)679-5721,rc0991
Ava Bassett,31,O-,ngo0107,,(404)742-4905,rc0992
Jamel Gary,99,B-,,hosp0120,(973)567-8249,rc0993
Darron Fernandez,69,A+,,hosp0074,(859)933-2555,rc0994
Linda Lin,7,B-,ngo0117,,(765)497-9099,rc0995
Corinne Darby,82,B+,,hosp0075,(919)217-9961,rc0996
Debbie Roberge,40,B-,,hosp0178,(215)464-2586,rc0997
Marla Crandall,6,A-,,hosp0135,(980)725-3058,rc0998
Dayna Hatley,59,O+,,hosp0085,(607)816-6117,rc0999
Rocco Strother,49,O-,ngo0089,,(202)213-8893,rc1000
Noel Schrader,49,A-,,hosp0078,(419)984-4310,rc1001
Troy Brazil,81,A-,ngo0009,,(717)356-7031,rc1002
Rich Loomis,82,A+,ngo0110,,(906)446-8576,rc1003
Lynn Henry,51,B+,,hosp0045,(708)582-6462,rc1004
Felton Beckham,25,A+,,hosp0066,(419)457-6216,rc1005
Henrietta Wickham,7,O-,ngo0063,,(620)565-2050,rc1006
Roosevelt Vest,87,B-,ngo0025,,(701)536-4874,rc1007
Moses Putman,36,AB-,,hosp0199,(412)165-6583,rc1008
Kendra Dill,65,O+,ngo0128,,(703)271-5031,rc1009
Nestor Benton,68,AB+,ngo0071,,(937)842-6418,rc1010
Melba Menendez,65,O+,ngo0129,,(636)508-2652,rc1011
Seymour Leal,76,B+,ngo0095,,(202)315-7881,rc1012
Lon Wilhelm,49,A+,,hosp0060,(330)878-5937,rc1013
Kennith Bunting,55,AB-,,hosp0159,(806)705-7751,rc1014
Danny Archuleta,25,O-,ngo0028,,(219)636-3437,rc1015
Dominic Saenz,42,O-,ngo0058,,(760)625-7570,rc1016
Ione Searcy,50,AB+,ngo0059,,(620)416-2489,rc1017
Isreal Roberts,85,B+,ngo0036,,(507)116-4369,rc1018
Darren Stafford,58,B+,,hosp0037,(870)240-8093,rc1019
Shari Dang,91,B+,,hosp0088,(623)961-9619,rc1020
Forrest Steed,13,B-,,hosp0104,(309)280-9998,rc1021
Chrystal Dodson,65,O-,,hosp0164,(810)191-4877,rc1022
Nannie Uribe,75,A-,,hosp0058,(959)358-6680,rc1023
Pattie Joy,68,B-,,hosp0109,(631)447-6443,rc1024
Doris Quintanilla,41,A+,,hosp0099,(717)683-2675,rc1025
Elvia Coley,95,O-,ngo0062,,(814)696-4913,rc1026
Matilde Camara,98,B-,ngo0131,,(518)905-3603,rc1027
Benedict Laporte,24,AB+,,hosp0134,(406)733-9178,rc1028
Johnie Alcala,96,A+,,hosp0123,(605)154-7712,rc1029
Foster Mckeown,25,O-,,hosp0115,(540)973-6620,rc1030
Lindsey Breland,94,A+,,hosp0043,(646)889-9822,rc1031
Lloyd Wingfield,12,B-,ngo0028,,(605)587-8875,rc1032
Helga Parson,51,O-,ngo0033,,(865)502-2035,rc1033
Maricela Stapleton,11,AB+,,hosp0053,(505)222-6110,rc1034
Paris Mckeever,4,AB+,,hosp0093,(412)611-1419,rc1035
Misty Atkins,43,A-,ngo0001,,(574)402-8395,rc1036
Mac Cabrera,42,AB+,ngo0037,,(215)652-9664,rc1037
Pamala Matthews,13,O+,,hosp0016,(804)946-9175,rc1038
Elba Love,4,A-,ngo0069,,(316)577-5357,rc1039
Heidi Dougherty,80,O-,,hosp0070,(580)197-5023,rc1040
Normand Gaines,84,B+,ngo0036,,(830)335-3198,rc1041
Alexis Levi,91,AB-,,hosp0167,(701)452-4203,rc1042
Elisa Gardiner,0,A-,,hosp0038,(405)529-4100,rc1043
Gil Xiong,25,B+,ngo0046,,(435)668-9960,rc1044
Scottie Culpepper,19,B-,ngo0060,,(267)748-2529,rc1045
Leigh Tracey,96,O-,ngo0124,,(774)629-8281,rc1046
Mickey Cervantes,20,A+,ngo0003,,(760)726-3652,rc1047
Brenna Larose,65,A-,,hosp0013,(818)372-3115,rc1048
Estelle Chisholm,71,AB-,,hosp0081,(213)905-1735,rc1049
Anita Ballard,8,A-,ngo0132,,(713)944-6449,rc1050
Mario Cornish,36,AB+,ngo0133,,(740)229-1828,rc1051
Marlena Walter,40,A+,ngo0107,,(386)608-7314,rc1052
Karin Swift,62,B-,,hosp0102,(224)140-1869,rc1053
Rhoda Scully,28,O+,,hosp0163,(859)196-6377,rc1054
Miguel Schilling,64,A+,,hosp0042,(732)175-7419,rc1055
Briana Hallman,83,AB-,ngo0038,,(775)122-9994,rc1056
Giuseppe Teague,16,O+,,hosp0020,(704)415-6395,rc1057
William Myles,56,A+,ngo0116,,(859)657-7408,rc1058
Krista Chan,12,A-,,hosp0038,(848)655-8926,rc1059
Jerrod Mills,59,A+,ngo0103,,(662)469-1537,rc1060
Burl Mcarthur,68,AB+,ngo0063,,(406)797-9364,rc1061
Thanh Villalobos,50,O+,,hosp0196,(239)731-2207,rc1062
Maria Acosta,57,O+,,hosp0209,(917)559-6699,rc1063
Maura Simone,45,B+,,hosp0148,(317)999-1610,rc1064
Jamison Nakamura,33,B+,,hosp0188,(540)813-1762,rc1065
Jason Slater,40,O+,,hosp0028,(414)764-1152,rc1066
Queen Tam,56,AB-,ngo0079,,(857)624-4972,rc1067
Tom Decker,32,A-,,hosp0018,(614)762-6061,rc1068
Georgette Aviles,22,B+,,hosp0103,(530)863-4484,rc1069
Griselda Hodge,2,O-,ngo0130,,(219)396-3382,rc1070
Barbra Ludwig,63,O+,,hosp0144,(256)893-1795,rc1071
Eldon Chilton,25,B+,,hosp0081,(601)428-7484,rc1072
Sherri Swafford,19,A-,ngo0083,,(702)475-4324,rc1073
Fannie Wheatley,12,O+,ngo0130,,(623)363-7762,rc1074
Leland Holder,17,AB-,,hosp0199,(319)529-9089,rc1075
Iola Royster,76,B-,ngo0056,,(435)574-5961,rc1076
Kyle Washington,11,O+,ngo0046,,(734)661-2061,rc1077
Jospeh Isaacs,24,B-,ngo0083,,(312)690-2084,rc1078
Diego Haney,85,O-,ngo0012,,(515)184-7819,rc1079
Debrah Guzman,69,AB+,,hosp0096,(772)413-5765,rc1080
Bobbie Dellinger,62,O+,,hosp0055,(814)391-8070,rc1081
Alonso Ho,75,A-,ngo0054,,(360)531-8179,rc1082
Marcia Phan,73,AB+,,hosp0022,(979)791-4795,rc1083
Theodore Howes,71,B-,,hosp0189,(405)639-9021,rc1084
Jeniffer Timmerman,46,B-,ngo0112,,(716)626-1248,rc1085
Madonna Pedersen,39,A-,,hosp0111,(623)893-3223,rc1086
Wes Palumbo,8,O-,ngo0072,,(806)489-2278,rc1087
Nathanael Jacques,43,AB+,,hosp0184,(831)259-3686,rc1088
Lisette Carbone,22,O+,ngo0023,,(228)954-4009,rc1089
Kari Davila,23,AB+,ngo0065,,(507)994-2246,rc1090
Stephan Bratton,72,B+,ngo0004,,(608)960-8010,rc1091
Deidre Mcduffie,46,A-,,hosp0091,(253)613-8821,rc1092
Madge Lanier,7,O-,ngo0032,,(316)423-2411,rc1093
Thanh Vidal,6,B+,,hosp0083,(678)833-3917,rc1094
Lacey Bracken,91,B+,ngo0040,,(717)717-9640,rc1095
Nathanael Maggard,14,AB-,ngo0112,,(283)173-2760,rc1096
Belle Forbes,9,A-,,hosp0209,(408)862-1526,rc1097
Tabatha Gillen,62,B+,,hosp0096,(406)329-7738,rc1098
India Hutchings,75,B+,ngo0086,,(662)540-1798,rc1099
Emanuel Boss,23,AB+,ngo0018,,(315)199-9256,rc1100
Jeff Irby,67,A-,,hosp0114,(570)279-1509,rc1101
Lindsay Camarillo,80,B-,ngo0052,,(510)532-4586,rc1102
Arnoldo Aguayo,82,A-,,hosp0071,(913)980-6802,rc1103
Elmer Huggins,91,A+,ngo0008,,(302)273-7449,rc1104
May Pettit,35,O+,ngo0003,,(218)560-3015,rc1105
Alicia Calderon,52,AB+,ngo0054,,(913)402-6365,rc1106
Ines Hendrick,6,O+,ngo0027,,(843)421-8479,rc1107
Chase Bandy,55,O-,ngo0119,,(706)634-1735,rc1108
Rupert Gill,6,AB+,,hosp0007,(754)402-9143,rc1109
Kaye Pinson,92,B-,,hosp0207,(806)979-4438,rc1110
Ofelia Linville,44,B-,ngo0073,,(570)577-1989,rc1111
Hope Harkins,8,B+,ngo0031,,(217)906-6680,rc1112
Charlie Lorenz,53,A+,ngo0023,,(214)833-6895,rc1113
Eric Evans,10,O-,ngo0021,,(775)122-6414,rc1114
Valentine Ceja,52,O+,,hosp0207,(301)975-2884,rc1115
Tobias Bergstrom,34,O-,,hosp0032,(920)184-7592,rc1116
Lyn Irving,75,AB+,,hosp0066,(918)665-2206,rc1117
Myles Mcgrew,96,O+,,hosp0100,(985)643-4573,rc1118
Les Foy,44,O+,,hosp0053,(662)906-5914,rc1119
Eugene Fitzpatrick,55,B-,ngo0001,,(303)600-7216,rc1120
Belle Lieberman,16,AB-,,hosp0101,(218)950-3304,rc1121
June Mcmillan,36,O-,,hosp0131,(217)795-8170,rc1122
Marsha Galvez,12,O+,ngo0069,,(702)472-3368,rc1123
Melva Polanco,55,O-,ngo0044,,(843)778-2490,rc1124
Teresita Page,46,B+,,hosp0177,(831)246-9998,rc1125
Jannie Bonilla,5,B-,,hosp0123,(570)801-9191,rc1126
Arlen Miles,48,A+,,hosp0185,(314)975-2060,rc1127
Sierra Belcher,7,A+,ngo0022,,(614)371-1391,rc1128
Mariam Fryer,52,AB-,ngo0077,,(940)604-3447,rc1129
Wally Chamberlain,80,A-,,hosp0130,(434)737-2781,rc1130
Danilo Walling,36,A+,,hosp0165,(862)712-2621,rc1131
Clark Arrington,67,AB-,,hosp0149,(870)855-2692,rc1132
Rhett Elias,43,O-,ngo0120,,(804)265-6525,rc1133
Janis Heaton,42,A+,ngo0020,,(316)384-6294,rc1134
Jordan Grisham,87,O+,,hosp0066,(207)497-6173,rc1135
Edmundo Luong,43,O+,,hosp0144,(570)618-8802,rc1136
Roseanne Nix,76,A+,ngo0046,,(319)815-3839,rc1137
Maria Huddleston,28,B+,,hosp0009,(212)714-5608,rc1138
Evelyn Bunch,62,A-,ngo0042,,(323)746-8960,rc1139
Reva Stroup,53,A+,ngo0092,,(302)897-4938,rc1140
Ramiro Venable,47,AB+,,hosp0071,(312)893-4468,rc1141
Tyron Lyon,65,B+,ngo0092,,(804)200-3476,rc1142
Marcelo Tate,62,B-,,hosp0151,(860)354-9832,rc1143
Michele Park,30,O+,,hosp0200,(802)429-9638,rc1144
Horace Schweitzer,76,O+,ngo0024,,(785)447-1504,rc1145
Tom Corbitt,99,AB+,,hosp0128,(505)413-4571,rc1146
Weldon Walter,60,A-,ngo0096,,(228)695-2437,rc1147
Lemuel Kaye,81,AB-,ngo0100,,(606)405-9042,rc1148
Tyron Brantley,61,B-,ngo0074,,(630)418-8420,rc1149
Humberto Hearn,95,O+,ngo0095,,(412)816-9521,rc1150
Jaime Bivens,31,B-,ngo0066,,(772)553-2387,rc1151
Alexa Ferry,44,A-,,hosp0128,(445)834-1702,rc1152
Claudia Ross,34,B-,ngo0047,,(610)511-8093,rc1153
Charlene Cochrane,6,A-,,hosp0141,(505)875-3810,rc1154
Jeffry Willson,18,O-,ngo0040,,(405)948-9945,rc1155
Aline Briones,81,O-,,hosp0097,(620)385-7769,rc1156
Candy Hite,99,B-,ngo0007,,(405)957-8925,rc1157
Wilhelmina Runyan,65,A-,ngo0039,,(251)801-1984,rc1158
Pearl Delvalle,85,B+,ngo0087,,(571)482-7162,rc1159
Liz Reddick,95,A-,,hosp0169,(612)592-5390,rc1160
Ed Vincent,5,O-,,hosp0060,(913)874-2118,rc1161
Royal Redd,6,A+,ngo0060,,(606)710-6131,rc1162
Lloyd Hoff,89,A+,ngo0017,,(412)157-9135,rc1163
Misti Mena,10,A+,,hosp0126,(773)584-9694,rc1164
Kimberly Pennell,98,O+,ngo0067,,(832)399-9896,rc1165
Marianne Holman,79,B+,ngo0035,,(603)231-4452,rc1166
Jamie Watkins,21,O-,ngo0040,,(818)838-3411,rc1167
Salvatore Wickham,9,O-,ngo0055,,(304)563-3796,rc1168
Lindsey Moriarty,80,O+,,hosp0049,(206)345-6804,rc1169
Rudolf Brantley,13,A-,,hosp0162,(417)564-3730,rc1170
Craig Hickman,30,AB+,ngo0024,,(339)565-1501,rc1171
Emanuel Groff,95,B+,ngo0115,,(212)983-4476,rc1172
Pat Scruggs,25,A+,ngo0025,,(731)768-4074,rc1173
Terence Oates,51,B+,ngo0008,,(419)498-4072,rc1174
Melva Gary,7,O+,ngo0065,,(714)180-7238,rc1175
William Blythe,41,B-,ngo0057,,(975)910-9638,rc1176
Emanuel Sorensen,5,AB+,ngo0129,,(949)493-3713,rc1177
Roscoe Johansen,96,AB+,,hosp0028,(304)597-4055,rc1178
David Hutchens,93,A-,ngo0127,,(331)426-6553,rc1179
Donny Thatcher,16,AB+,ngo0035,,(910)522-8485,rc1180
Ike Sherrill,50,O-,,hosp0070,(207)818-1858,rc1181
Lora Ricketts,47,B-,ngo0069,,(440)254-2816,rc1182
Leslie Fusco,85,B-,,hosp0142,(872)905-6299,rc1183
Concetta Durkin,59,O-,,hosp0149,(848)963-1869,rc1184
Randell Mcelroy,51,AB-,,hosp0121,(989)737-4643,rc1185
Zachary Cline,43,AB-,ngo0065,,(567)979-9815,rc1186
Pauline Herrin,90,B+,ngo0084,,(540)450-7817,rc1187
Jessie Stahl,23,B+,ngo0061,,(567)647-3606,rc1188
Reta Warfield,96,O-,,hosp0062,(281)417-6265,rc1189
Elida Rees,17,AB-,,hosp0145,(802)740-2382,rc1190
Annemarie Borrego,48,AB+,,hosp0059,(571)493-8302,rc1191
Molly Ha,64,B-,ngo0011,,(979)451-4728,rc1192
Bernardo Arroyo,18,A+,ngo0079,,(203)351-2131,rc1193
Morton Cooks,97,B+,ngo0055,,(484)121-8870,rc1194
Reyes Polanco,93,O+,,hosp0029,(857)664-7451,rc1195
Carmine Cobb,23,B+,ngo0087,,(401)254-2182,rc1196
Lewis Lankford,1,B-,,hosp0123,(512)954-7716,rc1197
Cathrine Yocum,86,B+,ngo0094,,(408)507-9147,rc1198
Alphonse Yanez,27,O+,,hosp0124,(334)371-6600,rc1199
Shirlene Randall,80,AB-,,hosp0072,(603)909-6048,rc1200
Mitchel Kimble,33,AB+,,hosp0149,(202)542-4952,rc1201
Nadia Birch,15,AB+,ngo0020,,(843)308-2744,rc1202
Alexa Chance,51,A+,ngo0005,,(970)604-2306,rc1203
Lorie Cruse,82,O-,ngo0042,,(413)375-8642,rc1204
Lionel Curley,88,AB-,ngo0050,,(830)223-3958,rc1205
Nathanael Damon,84,A-,,hosp0093,(979)176-4157,rc1206
Stevie Jean,33,O-,ngo0084,,(321)989-9355,rc1207
Peggy Raley,63,A+,,hosp0072,(351)735-5382,rc1208
Noelle Bock,14,AB+,,hosp0194,(520)190-3302,rc1209
Donovan Crutcher,0,O-,ngo0062,,(559)246-4349,rc1210
Rey Muir,43,AB-,ngo0133,,(775)271-5144,rc1211
Abe Pullen,9,O-,,hosp0114,(541)596-3100,rc1212
Francis Yu,94,AB+,,hosp0084,(907)582-4697,rc1213
Katy Bailey,1,B-,ngo0022,,(814)296-4267,rc1214
Theda Moniz,30,O+,ngo0063,,(763)961-5183,rc1215
Loren Najera,15,O+,,hosp0031,(662)895-8076,rc1216
Agustin Clegg,62,B+,,hosp0069,(757)849-9150,rc1217
Augustine Staton,40,A-,ngo0057,,(651)680-2678,rc1218
Annabelle Morrison,43,AB+,ngo0128,,(989)843-2396,rc1219
Carmelo Edmond,28,AB-,ngo0102,,(516)150-8807,rc1220
Angeline Mcmullin,79,B+,,hosp0105,(580)386-8939,rc1221
Quinn Chun,59,O-,,hosp0059,(872)350-5084,rc1222
Madeleine Cato,61,AB-,,hosp0173,(225)530-4305,rc1223
Irving Wolff,0,AB+,ngo0024,,(312)247-5869,rc1224
Vickey Keeler,56,A+,,hosp0031,(602)254-7273,rc1225
Roland Mccarter,11,B-,,hosp0093,(240)152-1387,rc1226
Isabell Wallace,47,AB-,,hosp0015,(260)954-5776,rc1227
Malissa Hatcher,51,B-,,hosp0149,(336)719-1626,rc1228
Alicia Henning,64,AB+,,hosp0202,(283)811-5865,rc1229
Janis Kopp,82,A-,,hosp0081,(239)416-7213,rc1230
Annemarie Meacham,32,AB-,,hosp0112,(203)742-2515,rc1231
